epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,436.17,4.48666,11.5928,7.50642,0.72551,0.05047,0.04158,0.01576,5.41267,7.15453,6.86626,0.00333042,0.00333042,0.00333042
2,860.286,3.25694,5.4104,5.0538,0.15436,0.09861,0.04068,0.01545,5.17035,6.88954,6.69128,0.00666357,0.00666357,0.00666357
3,1278.78,3.07353,5.31185,4.81274,0.43703,0.17548,0.05162,0.02011,5.19045,7.10378,6.89517,0.009996,0.009996,0.009996
4,1695,2.96422,5.45607,4.68347,0.39639,0.10706,0.04966,0.01978,4.70028,7.2881,6.16835,0.00999756,0.00999756,0.00999756
5,2110.8,2.8537,5.3776,4.49778,0.39823,0.08203,0.04849,0.02102,4.51904,8.33732,5.7297,0.00999566,0.00999566,0.00999566
6,2529.77,2.83446,5.29768,4.41091,0.78324,0.04206,0.06717,0.03148,4.21329,7.68109,5.33992,0.00999322,0.00999322,0.00999322
7,2947.84,2.7673,5.26493,4.34391,0.68472,0.12934,0.0699,0.03117,4.05854,7.86065,5.21526,0.00999023,0.00999023,0.00999023
8,3363.36,2.73075,5.14161,4.28926,0.77053,0.08709,0.0985,0.04795,4.24886,7.59664,5.51974,0.00998671,0.00998671,0.00998671
9,3779.64,2.69059,5.1004,4.24411,0.48195,0.07276,0.09088,0.04125,4.12539,7.71471,5.29268,0.00998264,0.00998264,0.00998264
10,4196.61,2.66623,5.07015,4.23323,0.37893,0.11041,0.07639,0.0352,4.06242,7.97369,5.20441,0.00997803,0.00997803,0.00997803
11,4613.46,2.6201,4.98733,4.21425,0.83707,0.08517,0.1027,0.04329,4.13763,7.36299,5.23764,0.00997288,0.00997288,0.00997288
12,5030.09,2.62383,4.93074,4.21115,0.80518,0.0715,0.10004,0.04754,3.98872,7.60443,4.98799,0.0099672,0.0099672,0.0099672
13,5447.06,2.60075,4.85125,4.17043,0.77752,0.08517,0.11781,0.05727,3.99279,7.03059,4.99176,0.00996097,0.00996097,0.00996097
14,5863.18,2.58246,4.79172,4.15455,0.7921,0.05258,0.10822,0.05449,3.84216,7.15935,4.87111,0.0099542,0.0099542,0.0099542
15,6278.25,2.54873,4.75036,4.13084,0.80846,0.05258,0.10221,0.05141,3.8994,7.33071,4.91551,0.0099469,0.0099469,0.0099469
16,6694.56,2.54614,4.71601,4.13537,0.74563,0.07571,0.10715,0.0534,3.66933,6.83724,4.68608,0.00993906,0.00993906,0.00993906
17,7110.68,2.53691,4.64555,4.12533,0.07577,0.45226,0.12643,0.06591,3.77795,6.87113,4.72322,0.00993068,0.00993068,0.00993068
18,7526.8,2.52255,4.56525,4.09769,0.79281,0.07886,0.14905,0.07582,3.49358,6.42702,4.4566,0.00992177,0.00992177,0.00992177
19,7943.11,2.50527,4.57925,4.07388,0.06024,0.56071,0.1478,0.07921,3.47976,6.32824,4.48058,0.00991232,0.00991232,0.00991232
20,8359.1,2.48357,4.53909,4.06443,0.78855,0.07992,0.15066,0.07967,3.46275,6.34181,4.43552,0.00990234,0.00990234,0.00990234
21,8774.56,2.45915,4.48566,4.0444,0.7945,0.10726,0.20669,0.10644,3.39273,5.95266,4.38154,0.00989183,0.00989183,0.00989183
22,9191.48,2.46465,4.48746,4.04525,0.54244,0.11241,0.19573,0.10284,3.38822,5.90568,4.3692,0.00988079,0.00988079,0.00988079
23,9607.69,2.42328,4.44834,3.99986,0.83822,0.10815,0.19599,0.10712,3.42399,5.69112,4.36576,0.00986922,0.00986922,0.00986922
24,10025.7,2.4457,4.39708,4.02698,0.82411,0.1041,0.20496,0.11296,3.28911,5.55514,4.26865,0.00985711,0.00985711,0.00985711
25,10442.7,2.42261,4.35217,3.98784,0.17922,0.14632,0.19397,0.10947,3.24703,5.34157,4.19028,0.00984449,0.00984449,0.00984449
26,10860.5,2.41486,4.3132,3.98935,0.33779,0.20721,0.21944,0.12475,3.249,5.1067,4.14926,0.00983133,0.00983133,0.00983133
27,11278,2.3901,4.31849,3.95898,0.58381,0.19121,0.25103,0.14316,3.19299,5.13946,4.12149,0.00981765,0.00981765,0.00981765
28,11694.8,2.39325,4.23932,3.94257,0.29343,0.24392,0.2492,0.14051,3.19225,5.04024,4.06725,0.00980345,0.00980345,0.00980345
29,12112.7,2.3756,4.20601,3.92921,0.4098,0.21414,0.25726,0.14279,3.21583,5.05508,4.11238,0.00978873,0.00978873,0.00978873
30,12529.9,2.3732,4.16923,3.92255,0.53861,0.20957,0.26952,0.15497,3.23576,4.97489,4.11993,0.00977349,0.00977349,0.00977349
31,12947.7,2.35019,4.12805,3.89533,0.47278,0.25103,0.27257,0.158,3.15534,4.89482,4.05561,0.00975773,0.00975773,0.00975773
32,13363.7,2.35143,4.09059,3.901,0.40554,0.26618,0.28033,0.16357,3.14074,4.84326,4.03852,0.00974145,0.00974145,0.00974145
33,13780.4,2.34777,4.03075,3.88485,0.32822,0.26653,0.27752,0.16434,3.11485,4.84695,4.01473,0.00972466,0.00972466,0.00972466
34,14195.2,2.34515,4.01269,3.8796,0.46031,0.28458,0.30436,0.17755,3.12445,4.82688,4.01615,0.00970736,0.00970736,0.00970736
35,14609.8,2.32411,3.94386,3.85614,0.45271,0.27484,0.30818,0.18137,3.13894,4.80624,4.02628,0.00968955,0.00968955,0.00968955
