epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,443.227,4.83629,12.8359,8.16793,0.00675,0.30785,0.01887,0.00623,5.59138,7.63379,7.53411,0.00333042,0.00333042,0.00333042
2,869.095,3.49312,6.02281,5.54896,0.11133,0.17745,0.04795,0.0182,5.17592,6.60511,6.68556,0.00666357,0.00666357,0.00666357
3,1293.32,3.07746,5.31428,4.88219,0.42903,0.16476,0.04632,0.01694,5.02452,7.35646,6.74763,0.009996,0.009996,0.009996
4,1716.24,2.95914,5.47262,4.71803,0.75126,0.07886,0.05257,0.02082,4.72673,7.56024,6.21696,0.00999756,0.00999756,0.00999756
5,2137.28,2.88577,5.44748,4.57438,0.74163,0.09464,0.07877,0.03318,4.86644,7.88954,6.43016,0.00999566,0.00999566,0.00999566
6,2558.85,2.82913,5.3395,4.45151,0.01488,0.1409,0.06713,0.02848,4.35222,7.81916,5.57983,0.00999322,0.00999322,0.00999322
7,2979.36,2.78352,5.26859,4.38032,0.72545,0.09884,0.08205,0.03347,4.25909,7.78114,5.52146,0.00999023,0.00999023,0.00999023
8,3399.04,2.75661,5.22221,4.35263,0.70997,0.12513,0.07588,0.03362,4.1679,7.9147,5.41522,0.00998671,0.00998671,0.00998671
9,3821.42,2.72941,5.17012,4.32197,0.85645,0.06256,0.07977,0.03452,4.18459,7.96955,5.46619,0.00998264,0.00998264,0.00998264
10,4241.65,2.68023,5.11015,4.2827,0.82313,0.06698,0.08943,0.03951,4.15947,7.84467,5.36974,0.00997803,0.00997803,0.00997803
11,4664.58,2.6765,5.00346,4.25271,0.802,0.07992,0.08856,0.04212,4.08682,7.81657,5.30349,0.00997288,0.00997288,0.00997288
12,5083.85,2.65948,4.95992,4.24649,0.80348,0.03587,0.0502,0.02312,3.99567,7.89302,5.23104,0.0099672,0.0099672,0.0099672
13,5502.75,2.63902,4.92005,4.21373,0.74473,0.10936,0.08663,0.04087,3.90731,7.49971,5.02968,0.00996097,0.00996097,0.00996097
14,5924.54,2.61185,4.86859,4.19968,0.78966,0.06099,0.08688,0.04301,3.80419,7.1442,4.95952,0.0099542,0.0099542,0.0099542
15,6347.93,2.61062,4.80295,4.18957,0.78937,0.08412,0.11123,0.05378,3.80095,7.06549,4.92706,0.0099469,0.0099469,0.0099469
16,6765.57,2.59063,4.78156,4.17588,0.80935,0.09779,0.12715,0.05981,3.70871,6.87205,4.77589,0.00993906,0.00993906,0.00993906
17,7184.79,2.56507,4.73029,4.14361,0.82574,0.08927,0.14572,0.06591,3.69744,6.6819,4.68202,0.00993068,0.00993068,0.00993068
18,7604.45,2.56494,4.68757,4.13336,0.81687,0.09779,0.14586,0.06788,3.64723,6.48806,4.69799,0.00992177,0.00992177,0.00992177
19,8026.31,2.53767,4.66834,4.11131,0.83362,0.09253,0.14413,0.0681,3.56801,6.40819,4.57306,0.00991232,0.00991232,0.00991232
20,8447.73,2.52278,4.63498,4.09407,0.81276,0.10515,0.17281,0.08384,3.60366,6.13548,4.58499,0.00990234,0.00990234,0.00990234
21,8871.6,2.51123,4.55361,4.08056,0.76873,0.13249,0.1861,0.09294,3.43846,5.8975,4.42398,0.00989183,0.00989183,0.00989183
22,9291.23,2.48959,4.52927,4.04894,0.40776,0.13682,0.19994,0.10128,3.43946,5.73496,4.38589,0.00988079,0.00988079,0.00988079
23,9713.52,2.48922,4.5025,4.03167,0.2205,0.12632,0.19022,0.09514,3.44656,5.57559,4.3707,0.00986922,0.00986922,0.00986922
24,10134,2.48434,4.49497,4.03469,0.3006,0.14112,0.2021,0.10326,3.42972,5.45775,4.33737,0.00985711,0.00985711,0.00985711
25,10553.8,2.47976,4.41618,4.02509,0.38166,0.15788,0.21889,0.11208,3.37325,5.33992,4.28284,0.00984449,0.00984449,0.00984449
26,10973.4,2.45253,4.41063,3.9962,0.47205,0.14858,0.21531,0.11149,3.34492,5.31323,4.2363,0.00983133,0.00983133,0.00983133
27,11393.9,2.4558,4.39722,4.00826,0.59525,0.14689,0.24616,0.12381,3.35712,5.2252,4.25458,0.00981765,0.00981765,0.00981765
28,11812.6,2.44505,4.33233,3.98849,0.5551,0.16229,0.24624,0.12512,3.34379,5.14353,4.20764,0.00980345,0.00980345,0.00980345
29,12232.5,2.4258,4.30236,3.96698,0.53025,0.15837,0.26062,0.13448,3.31237,5.09216,4.1855,0.00978873,0.00978873,0.00978873
30,12655.1,2.41645,4.23866,3.95791,0.6082,0.18453,0.27447,0.14548,3.27839,5.05071,4.1582,0.00977349,0.00977349,0.00977349
31,13074.5,2.42021,4.23856,3.95099,0.4923,0.22715,0.2781,0.14886,3.29045,4.89887,4.14603,0.00975773,0.00975773,0.00975773
32,13495.4,2.39564,4.15099,3.9234,0.3874,0.22584,0.2651,0.14342,3.28655,4.84639,4.12294,0.00974145,0.00974145,0.00974145
33,13918.7,2.38625,4.18702,3.91437,0.37428,0.27475,0.26437,0.14455,3.25889,4.79826,4.09008,0.00972466,0.00972466,0.00972466
34,14340.8,2.37256,4.15589,3.89986,0.39912,0.28069,0.27214,0.14958,3.26777,4.74733,4.09298,0.00970736,0.00970736,0.00970736
35,14760.8,2.37101,4.12106,3.88442,0.38437,0.28035,0.27935,0.15433,3.25956,4.71485,4.08467,0.00968955,0.00968955,0.00968955
36,15183.8,2.37163,4.04013,3.88234,0.37117,0.28868,0.28427,0.15756,3.25501,4.6618,4.07779,0.00967122,0.00967122,0.00967122
37,15606.5,2.36979,3.9994,3.8728,0.38827,0.27189,0.29176,0.16151,3.23158,4.66596,4.06293,0.00965239,0.00965239,0.00965239
38,16026.7,2.36839,3.96059,3.87004,0.39537,0.29158,0.29402,0.16373,3.2148,4.63256,4.03192,0.00963306,0.00963306,0.00963306
39,16448.2,2.34572,3.90302,3.85837,0.39817,0.30647,0.29738,0.16653,3.18994,4.60775,4.00948,0.00961322,0.00961322,0.00961322
40,16868.3,2.33671,3.91025,3.82675,0.41253,0.32615,0.30165,0.16919,3.17391,4.57535,4.00014,0.00959289,0.00959289,0.00959289
41,17288.2,2.32799,3.84554,3.82377,0.40236,0.32086,0.30495,0.17246,3.17363,4.55414,3.99289,0.00957205,0.00957205,0.00957205
42,17710.4,2.31325,3.81636,3.80968,0.42821,0.32086,0.30918,0.17702,3.14974,4.52947,3.97122,0.00955072,0.00955072,0.00955072
43,18133.7,2.314,3.7851,3.80227,0.43091,0.33441,0.31431,0.18034,3.14375,4.51454,3.96639,0.00952889,0.00952889,0.00952889
44,18553.1,2.31039,3.73555,3.79486,0.43446,0.33011,0.31933,0.18306,3.1359,4.49611,3.94852,0.00950658,0.00950658,0.00950658
45,18974.9,2.3056,3.70441,3.77265,0.43696,0.33127,0.32368,0.18736,3.12411,4.48085,3.93248,0.00948377,0.00948377,0.00948377
46,19398.4,2.27997,3.67482,3.76239,0.44051,0.33232,0.32739,0.19009,3.11426,4.46916,3.91522,0.00946048,0.00946048,0.00946048
47,19817.9,2.28244,3.62722,3.75085,0.44371,0.33091,0.33144,0.19277,3.11187,4.45813,3.91364,0.00943671,0.00943671,0.00943671
48,20239.5,2.27635,3.5747,3.73817,0.43848,0.32603,0.33543,0.19559,3.10533,4.4379,3.90872,0.00941245,0.00941245,0.00941245
49,20663,2.26434,3.57139,3.73197,0.44647,0.32084,0.33869,0.1995,3.09833,4.42499,3.8997,0.00938772,0.00938772,0.00938772
50,21084,2.263,3.54185,3.71658,0.47502,0.32292,0.3436,0.20328,3.09561,4.40537,3.89282,0.00936251,0.00936251,0.00936251
51,21504.8,2.26113,3.50647,3.72019,0.50614,0.31973,0.34722,0.20601,3.09126,4.38797,3.88173,0.00933683,0.00933683,0.00933683
52,21928.5,2.25696,3.49937,3.70352,0.50511,0.31967,0.35123,0.20951,3.08043,4.38832,3.86723,0.00931067,0.00931067,0.00931067
53,22347.8,2.24114,3.44509,3.68496,0.52263,0.31948,0.35573,0.21386,3.06835,4.38516,3.85519,0.00928405,0.00928405,0.00928405
54,22767.9,2.25353,3.40904,3.69707,0.51757,0.32359,0.35946,0.21561,3.0695,4.36829,3.84981,0.00925697,0.00925697,0.00925697
55,23191.5,2.24164,3.40174,3.69174,0.5262,0.32353,0.36464,0.21777,3.07442,4.34831,3.84547,0.00922942,0.00922942,0.00922942
