epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,442.138,4.59132,11.8599,7.71117,0.75053,0.07741,0.04823,0.01872,5.47835,6.95786,6.97409,0.00333067,0.00333067,0.00333067
2,869.569,3.34457,5.3895,5.19932,0.12282,0.16596,0.06169,0.02364,5.07819,6.58218,6.5036,0.00666382,0.00666382,0.00666382
3,1291.98,3.06827,5.20965,4.83008,0.43986,0.18075,0.052,0.01852,4.95598,6.94147,6.7024,0.00999625,0.00999625,0.00999625
4,1713,2.96054,5.33942,4.67242,0.14113,0.12758,0.04924,0.01798,4.85398,7.29638,6.33436,0.00999756,0.00999756,0.00999756
5,2133.97,2.86156,5.28295,4.49207,0.78589,0.06835,0.07331,0.03154,4.39386,7.51872,5.69622,0.00999566,0.00999566,0.00999566
6,2553.72,2.77962,5.17008,4.36781,0.69385,0.07992,0.05026,0.01674,4.09154,7.83332,5.28891,0.00999322,0.00999322,0.00999322
7,2974.26,2.7075,5.07239,4.27453,0.76705,0.04837,0.05408,0.02184,4.1789,7.87455,5.3424,0.00999023,0.00999023,0.00999023
8,3395.13,2.67762,4.99108,4.22767,0.69589,0.10936,0.07092,0.03082,4.00051,7.87263,5.13026,0.00998671,0.00998671,0.00998671
9,3815.48,2.65281,4.9051,4.19889,0.6801,0.12303,0.04855,0.01783,4.0091,7.95639,5.18372,0.00998264,0.00998264,0.00998264
10,4236,2.61951,4.82081,4.18688,0.86564,0.04983,0.08438,0.04049,4.02288,7.76474,4.97622,0.00997803,0.00997803,0.00997803
11,4656.55,2.60325,4.79961,4.15932,0.87247,0.05994,0.09601,0.04403,3.86947,7.54599,5.01533,0.00997288,0.00997288,0.00997288
12,5077.17,2.5752,4.7284,4.14301,0.86775,0.07886,0.13198,0.0642,3.72362,7.0732,4.82025,0.0099672,0.0099672,0.0099672
13,5498.64,2.55688,4.67992,4.12928,0.82131,0.0715,0.1087,0.05058,3.68253,7.01142,4.78023,0.00996097,0.00996097,0.00996097
14,5920.1,2.5515,4.64288,4.12956,0.85175,0.07781,0.12644,0.06483,3.71142,7.04239,4.76351,0.0099542,0.0099542,0.0099542
