epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.721,3.85244,8.01623,4.49202,0.44703,0.25126,0.23691,0.11636,3.64668,4.94483,4.01337,0.00332656,0.00332656,0.00332656
2,280.936,3.83173,6.42357,4.36743,0.47568,0.35372,0.34504,0.17003,3.8016,4.24721,3.96552,0.00665971,0.00665971,0.00665971
3,417.435,3.87164,6.19443,4.31246,0.46879,0.3518,0.32046,0.14948,4.03972,4.41114,4.17371,0.00999214,0.00999214,0.00999214
4,553.454,3.93203,6.21425,4.3328,0.48595,0.36243,0.35197,0.14766,4.26207,4.21256,4.33231,0.00999756,0.00999756,0.00999756
5,688.854,3.86884,6.15033,4.26806,0.5129,0.37524,0.35919,0.16672,4.07495,4.14713,4.15844,0.00999566,0.00999566,0.00999566
6,823.676,3.84284,6.07738,4.26692,0.46776,0.33801,0.31461,0.14388,3.99846,4.38995,4.1306,0.00999322,0.00999322,0.00999322
7,959.074,3.81058,5.97491,4.20009,0.4863,0.38688,0.36381,0.1622,4.04794,4.1155,4.17344,0.00999023,0.00999023,0.00999023
8,1094.37,3.79333,5.88777,4.18603,0.4647,0.36758,0.32473,0.12833,4.15084,4.50741,4.25539,0.00998671,0.00998671,0.00998671
9,1230.39,3.78097,5.88573,4.16557,0.54843,0.42397,0.40773,0.18173,3.94124,3.8359,4.0424,0.00998264,0.00998264,0.00998264
10,1366.97,3.76692,5.77578,4.15453,0.51614,0.41129,0.40004,0.17541,3.97822,3.81941,4.02432,0.00997803,0.00997803,0.00997803
11,1502.23,3.78274,5.81022,4.15817,0.49889,0.41002,0.39967,0.18321,3.9053,3.78354,4.02573,0.00997288,0.00997288,0.00997288
12,1638.25,3.74178,5.74117,4.11487,0.52645,0.40498,0.41431,0.184,3.93673,3.69008,4.04101,0.0099672,0.0099672,0.0099672
13,1773.39,3.72323,5.6999,4.10919,0.53606,0.40865,0.41191,0.17987,3.96387,3.72552,4.12349,0.00996097,0.00996097,0.00996097
14,1909.96,3.7126,5.68584,4.10521,0.53165,0.42012,0.42295,0.19714,3.86079,3.68796,3.99543,0.0099542,0.0099542,0.0099542
15,2045.89,3.69352,5.61141,4.08479,0.52375,0.44141,0.43013,0.19495,3.83875,3.65644,3.95806,0.0099469,0.0099469,0.0099469
16,2181.73,3.70982,5.63196,4.09658,0.54897,0.42543,0.43455,0.19777,3.85425,3.55902,3.97419,0.00993906,0.00993906,0.00993906
17,2317.08,3.68424,5.57577,4.0824,0.5427,0.44555,0.45103,0.20687,3.87046,3.57783,4.01796,0.00993068,0.00993068,0.00993068
18,2452.67,3.68151,5.58128,4.07071,0.56633,0.46446,0.46459,0.20355,3.88752,3.47564,3.99554,0.00992177,0.00992177,0.00992177
19,2589.15,3.67116,5.50601,4.05635,0.54664,0.45701,0.46692,0.21745,3.71792,3.45109,3.84984,0.00991232,0.00991232,0.00991232
20,2725.38,3.67592,5.49376,4.04951,0.5567,0.44169,0.45144,0.21261,3.76343,3.49022,3.90213,0.00990234,0.00990234,0.00990234
21,2861.55,3.64715,5.49099,4.04208,0.5951,0.45661,0.47332,0.22114,3.81474,3.36112,3.9189,0.00989183,0.00989183,0.00989183
22,2997.19,3.65789,5.43554,4.04188,0.58694,0.4469,0.47426,0.22778,3.74911,3.37207,3.84613,0.00988079,0.00988079,0.00988079
23,3131.88,3.66033,5.41597,4.0468,0.5547,0.47418,0.46816,0.21915,3.72971,3.33116,3.88115,0.00986922,0.00986922,0.00986922
24,3268.19,3.65966,5.42396,4.02887,0.57696,0.45919,0.48125,0.23025,3.71566,3.37937,3.90212,0.00985711,0.00985711,0.00985711
25,3401.95,3.62027,5.35384,4.02452,0.53703,0.47121,0.462,0.21299,3.82792,3.46565,3.96919,0.00984449,0.00984449,0.00984449
26,3535.14,3.64626,5.36817,4.00027,0.60786,0.46136,0.49519,0.23183,3.77642,3.23458,3.924,0.00983133,0.00983133,0.00983133
27,3668.3,3.61315,5.32029,3.99797,0.59789,0.5114,0.52407,0.25663,3.6714,3.11528,3.81614,0.00981765,0.00981765,0.00981765
28,3802,3.59823,5.28094,3.98829,0.61227,0.46672,0.49584,0.23379,3.79917,3.23951,3.87823,0.00980345,0.00980345,0.00980345
29,3935.38,3.63437,5.30562,4.01418,0.60736,0.49379,0.51687,0.24578,3.72076,3.13234,3.84672,0.00978873,0.00978873,0.00978873
30,4068.34,3.59907,5.32386,3.98773,0.61721,0.47959,0.50472,0.25075,3.62148,3.2046,3.76855,0.00977349,0.00977349,0.00977349
31,4201.14,3.5773,5.26302,3.96298,0.60597,0.50141,0.52112,0.2547,3.62867,3.1581,3.77654,0.00975773,0.00975773,0.00975773
32,4334.84,3.61335,5.30211,3.98497,0.62076,0.49034,0.52358,0.24996,3.64327,3.09309,3.78343,0.00974145,0.00974145,0.00974145
33,4467.82,3.56195,5.23335,3.9656,0.59662,0.51207,0.52697,0.2569,3.65419,3.11951,3.76477,0.00972466,0.00972466,0.00972466
34,4601.55,3.53998,5.17183,3.95361,0.58826,0.51862,0.52658,0.25343,3.65495,3.10956,3.78915,0.00970736,0.00970736,0.00970736
35,4735.67,3.55737,5.19054,3.95864,0.60814,0.50385,0.53639,0.26232,3.65065,3.06287,3.75549,0.00968955,0.00968955,0.00968955
36,4868.67,3.57278,5.24339,3.9631,0.60999,0.50489,0.52601,0.25625,3.7082,3.06557,3.8138,0.00967122,0.00967122,0.00967122
37,5001.47,3.53032,5.11451,3.93298,0.64646,0.49484,0.52763,0.24907,3.80461,3.04488,3.88942,0.00965239,0.00965239,0.00965239
38,5135.25,3.56309,5.1502,3.95337,0.62226,0.49701,0.52477,0.2588,3.67929,3.07434,3.80097,0.00963306,0.00963306,0.00963306
39,5268.7,3.54476,5.12982,3.93616,0.62304,0.47531,0.50813,0.25163,3.66322,3.15471,3.79354,0.00961322,0.00961322,0.00961322
40,5402.29,3.53795,5.14517,3.93252,0.6204,0.51573,0.54082,0.2615,3.65353,2.99335,3.7242,0.00959289,0.00959289,0.00959289
41,5536.16,3.53246,5.13475,3.92853,0.65404,0.51291,0.54496,0.26526,3.69566,2.94733,3.77782,0.00957205,0.00957205,0.00957205
42,5671.62,3.53664,5.10058,3.92752,0.64249,0.51019,0.55199,0.26959,3.60389,3.01116,3.74337,0.00955072,0.00955072,0.00955072
43,5804.98,3.52819,5.11007,3.93174,0.64148,0.51418,0.55329,0.28338,3.54336,2.91362,3.70209,0.00952889,0.00952889,0.00952889
44,5937.74,3.48551,5.05756,3.91728,0.63099,0.53101,0.54902,0.26921,3.61973,2.95505,3.74486,0.00950658,0.00950658,0.00950658
45,6070.66,3.50025,5.03633,3.92398,0.63464,0.53934,0.55163,0.26853,3.61332,2.91605,3.76343,0.00948377,0.00948377,0.00948377
46,6202.93,3.52327,5.07595,3.91822,0.63363,0.53431,0.56389,0.27886,3.57842,2.86883,3.70514,0.00946048,0.00946048,0.00946048
47,6336.44,3.53642,5.0174,3.91026,0.66203,0.52901,0.57027,0.28991,3.55374,2.79963,3.68478,0.00943671,0.00943671,0.00943671
48,6469.78,3.50607,5.0076,3.88848,0.66119,0.53267,0.57278,0.29138,3.58222,2.78943,3.6953,0.00941245,0.00941245,0.00941245
49,6602.9,3.471,4.97318,3.90236,0.6563,0.54345,0.57474,0.29187,3.5693,2.84532,3.73354,0.00938772,0.00938772,0.00938772
50,6736.63,3.49766,4.993,3.89673,0.67531,0.55074,0.57577,0.28993,3.58415,2.83048,3.7132,0.00936251,0.00936251,0.00936251
51,6869.65,3.49022,4.99454,3.89732,0.65698,0.56099,0.58258,0.29115,3.55202,2.76641,3.67922,0.00933683,0.00933683,0.00933683
52,7002.97,3.48996,4.95037,3.88118,0.68656,0.54268,0.59319,0.28942,3.67723,2.75553,3.75976,0.00931067,0.00931067,0.00931067
53,7135.82,3.47766,4.95352,3.90072,0.68127,0.55975,0.597,0.30097,3.53218,2.73818,3.68695,0.00928405,0.00928405,0.00928405
54,7268.29,3.46835,4.95236,3.88312,0.65322,0.55262,0.57984,0.29097,3.53081,2.77072,3.6731,0.00925697,0.00925697,0.00925697
55,7401.56,3.48401,4.91801,3.88914,0.69339,0.55933,0.60199,0.30269,3.544,2.69829,3.68094,0.00922942,0.00922942,0.00922942
56,7534.24,3.47665,4.91088,3.88881,0.69715,0.5397,0.59163,0.30002,3.5571,2.70337,3.68407,0.00920142,0.00920142,0.00920142
57,7668,3.48941,4.92145,3.87018,0.66986,0.55202,0.59396,0.29386,3.52321,2.71243,3.629,0.00917296,0.00917296,0.00917296
58,7801.02,3.48443,4.95538,3.87966,0.71419,0.55262,0.61037,0.30525,3.53449,2.7251,3.63565,0.00914405,0.00914405,0.00914405
59,7934.77,3.46503,4.87763,3.86592,0.69159,0.56259,0.60977,0.3096,3.52317,2.6672,3.62671,0.00911469,0.00911469,0.00911469
60,8067.95,3.45808,4.87416,3.85705,0.68351,0.56489,0.61088,0.31419,3.47312,2.63813,3.58615,0.00908488,0.00908488,0.00908488
61,8201.27,3.48223,4.9147,3.86229,0.67885,0.56851,0.61174,0.31703,3.46022,2.63859,3.58329,0.00905463,0.00905463,0.00905463
62,8334.41,3.44879,4.85813,3.84114,0.69271,0.57443,0.61431,0.31719,3.45687,2.60204,3.57198,0.00902395,0.00902395,0.00902395
63,8467.13,3.4509,4.88682,3.85609,0.69384,0.57712,0.6178,0.31942,3.45824,2.60228,3.57689,0.00899282,0.00899282,0.00899282
64,8600.77,3.43671,4.81923,3.85267,0.69518,0.58887,0.62138,0.32476,3.46356,2.60476,3.58847,0.00896127,0.00896127,0.00896127
65,8734.17,3.43664,4.83796,3.82585,0.6843,0.56703,0.61088,0.3194,3.46371,2.6277,3.58133,0.00892928,0.00892928,0.00892928
66,8867.43,3.43258,4.82998,3.84078,0.68063,0.57827,0.62322,0.32275,3.41385,2.61069,3.54148,0.00889687,0.00889687,0.00889687
67,9001.44,3.43787,4.85632,3.85308,0.69237,0.57438,0.61988,0.31777,3.46999,2.6654,3.61297,0.00886404,0.00886404,0.00886404
68,9134.58,3.44718,4.84675,3.84781,0.73298,0.56162,0.62422,0.32329,3.45538,2.58494,3.57325,0.00883079,0.00883079,0.00883079
69,9267.96,3.43927,4.82776,3.83812,0.69109,0.58774,0.6267,0.32602,3.43526,2.60048,3.56017,0.00879713,0.00879713,0.00879713
70,9401.1,3.43146,4.80027,3.82896,0.72955,0.56157,0.62364,0.32703,3.43707,2.55988,3.55999,0.00876305,0.00876305,0.00876305
71,9534.39,3.42934,4.77552,3.81961,0.75333,0.56421,0.6279,0.32255,3.45796,2.55202,3.58026,0.00872857,0.00872857,0.00872857
72,9668.21,3.41612,4.79624,3.81814,0.72509,0.57889,0.63792,0.32919,3.42197,2.52574,3.54406,0.00869368,0.00869368,0.00869368
73,9802.01,3.40603,4.76632,3.80813,0.73769,0.56399,0.63498,0.33265,3.43039,2.52071,3.5371,0.00865839,0.00865839,0.00865839
74,9934.59,3.45062,4.80989,3.82136,0.6994,0.58401,0.63374,0.32303,3.48297,2.54053,3.60214,0.00862271,0.00862271,0.00862271
