epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,442.56,4.70007,12.4733,7.90583,0.72867,0.09989,0.05503,0.02128,5.4712,6.92097,7.18036,0.00333029,0.00333029,0.00333029
2,867.59,3.40726,5.39721,5.23197,0.44071,0.17338,0.04807,0.01727,5.20258,6.66359,6.71352,0.00666344,0.00666344,0.00666344
3,1295.25,3.09123,5.2419,4.84263,0.44403,0.1331,0.04785,0.01832,5.04319,7.11404,6.58453,0.00999587,0.00999587,0.00999587
4,1719.61,2.94216,5.36865,4.65919,0.1188,0.13157,0.06018,0.02422,4.59122,7.17199,5.95405,0.00999756,0.00999756,0.00999756
5,2143.83,2.86249,5.29874,4.49032,0.73448,0.09674,0.06899,0.03054,4.54876,7.66497,5.87072,0.00999566,0.00999566,0.00999566
6,2568.06,2.7915,5.21325,4.3706,0.80756,0.03575,0.05982,0.02504,4.32225,7.89558,5.52368,0.00999322,0.00999322,0.00999322
7,2992.71,2.71485,5.11953,4.28179,0.80596,0.0368,0.07674,0.03087,4.08662,7.87727,5.31186,0.00999023,0.00999023,0.00999023
8,3416.87,2.69422,5.09354,4.263,0.01883,0.32413,0.02487,0.0082,4.27243,8.01447,5.34507,0.00998671,0.00998671,0.00998671
9,3841.23,2.66908,4.98669,4.21347,0.80526,0.04942,0.07378,0.02835,3.97616,7.46585,5.07735,0.00998264,0.00998264,0.00998264
10,4265.9,2.6191,4.94059,4.16481,0.69561,0.10515,0.07379,0.0264,4.05615,7.6494,5.09796,0.00997803,0.00997803,0.00997803
11,4690.02,2.60444,4.86486,4.15255,0.7932,0.0673,0.09805,0.04748,3.8674,7.43693,4.96062,0.00997288,0.00997288,0.00997288
12,5114.64,2.58459,4.81774,4.14906,0.38862,0.07256,0.05346,0.02279,3.88323,7.35872,4.86045,0.0099672,0.0099672,0.0099672
13,5540.1,2.55894,4.80793,4.1394,0.84601,0.07045,0.1152,0.05346,3.77799,7.19328,4.92215,0.00996097,0.00996097,0.00996097
14,5965.58,2.54542,4.73605,4.12793,0.8389,0.08097,0.12621,0.0617,3.74969,6.82216,4.75903,0.0099542,0.0099542,0.0099542
15,6391.26,2.52813,4.65155,4.09327,0.82264,0.08415,0.12823,0.05989,3.69286,6.72655,4.69463,0.0099469,0.0099469,0.0099469
16,6816.32,2.52021,4.61472,4.09512,0.84287,0.08938,0.14568,0.07375,3.59661,6.69893,4.62634,0.00993906,0.00993906,0.00993906
17,7241.28,2.49715,4.58352,4.08863,0.80887,0.09043,0.15534,0.07946,3.47417,6.55959,4.45802,0.00993068,0.00993068,0.00993068
18,7666.86,2.48368,4.56726,4.07457,0.80052,0.10936,0.17242,0.0882,3.50063,6.16304,4.50433,0.00992177,0.00992177,0.00992177
19,8092.1,2.47792,4.48611,4.0478,0.81772,0.1041,0.19452,0.10028,3.41956,6.1407,4.4413,0.00991232,0.00991232,0.00991232
20,8515.75,2.453,4.4699,4.03231,0.78205,0.12513,0.19055,0.1045,3.37704,5.989,4.37819,0.00990234,0.00990234,0.00990234
21,8941.58,2.45644,4.3882,4.01578,0.80339,0.12503,0.22132,0.11994,3.26795,5.74568,4.24024,0.00989183,0.00989183,0.00989183
22,9368.3,2.43702,4.37078,3.99872,0.54796,0.12584,0.2513,0.13307,3.28317,5.67336,4.28156,0.00988079,0.00988079,0.00988079
23,9794.65,2.4087,4.36507,3.97876,0.81773,0.12198,0.26703,0.15302,3.19576,5.47521,4.21221,0.00986922,0.00986922,0.00986922
24,10221,2.42186,4.2748,3.9754,0.78539,0.14393,0.2711,0.15064,3.21005,5.19735,4.14451,0.00985711,0.00985711,0.00985711
